Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Temperatura,"RANDOM (1000, 30.000000, 35.000000)",Float,1.0,RO,100.0,,,,,,,,,,,
Temperatura_PV,"RANDOM(1000, 30.0, 35.0)",Float,,,,,,,,,,,,,Temperatura da dorna (°C),
pH_PV,"RANDOM(1000, 3.0, 6.5)",Float,,,,,,,,,,,,,pH da fermentação,
Pressao_PV,"RANDOM(1000, 1.0, 1.5)",Float,,,,,,,,,,,,,Pressão interna (bar),
Volume_PV,"RANDOM(1000, 500.0, 800.0)",Float,,,,,,,,,,,,,Volume da dorna (litros),
Etanol_PV,"RANDOM(1000, 5.0, 15.0)",Float,,,,,,,,,,,,,Concentração de etanol (%),
CO2_PV,"RANDOM(1000, 0.1, 0.9)",Float,,,,,,,,,,,,,Liberação de CO2 (kg/h),
Brix_PV,"RANDOM(1000, 10.0, 18.0)",Float,,,,,,,,,,,,,Concentração de açúcar (°Brix),
Temperatura_SP,"RANDOM(10000, 32.0, 32.0)",Float,,,,,,,,,,,,,Setpoint de temperatura (°C),
Etanol_SP,"RANDOM(10000, 12.0, 12.0)",Float,,,,,,,,,,,,,Meta de etanol (%),
Resfriamento_MV,"RANDOM(1000, 0, 100)",Float,,,,,,,,,,,,,Controle de resfriamento (%),
Agitador_MV,"RAMP(1000, 0, 1, 1)",Boolean,,,,,,,,,,,,,Status do agitador,
Valvula_Entrada_MV,"RAMP(3000, 0, 1, 1)",Boolean,,,,,,,,,,,,,Estado da válvula de entrada,
Valvula_Saida_MV,"RAMP(5000, 0, 1, 1)",Boolean,,,,,,,,,,,,,Estado da válvula de saída,
Status_Fermentacao,"RAMP(7000, 0, 1, 1)",Boolean,,,,,,,,,,,,,Status da fermentação,
VinhoPronto,"RAMP(15000, 0, 1, 1)",Boolean,,,,,,,,,,,,,Indica se o vinho está pronto,
TempEntradaMosto_PV,"RANDOM(1000, 25.0, 32.0)",Float,,,,,,,,,,,,,Temperatura do mosto na entrada,
TempSaidaVinho_PV,"RANDOM(1000, 30.0, 34.0)",Float,,,,,,,,,,,,,Temperatura do vinho na saída,
NivelDorna_PV,"RANDOM(1000, 0, 100)",Float,,,,,,,,,,,,,Nível da dorna (%),
VazaoMosto_PV,"RANDOM(1000, 10.0, 20.0)",Float,,,,,,,,,,,,,Vazão do mosto (L/min),
VazaoAgua_PV,"RANDOM(1000, 5.0, 10.0)",Float,,,,,,,,,,,,,Vazão de água (L/min),
VazaoLevedura_PV,"RANDOM(1000, 1.0, 5.0)",Float,,,,,,,,,,,,,Vazão de levedura (L/min),
Nivel_SP,"RANDOM(10000, 80.0, 80.0)",Float,,,,,,,,,,,,,Setpoint de nível da dorna (%),
Pressao_SP,"RANDOM(10000, 1.2, 1.2)",Float,,,,,,,,,,,,,Setpoint de pressão (bar),
DosagemLevedura_MV,"RANDOM(2000, 0, 100)",Float,,,,,,,,,,,,,Controle da dosagem de levedura (%),
DosagemNutriente_MV,"RANDOM(2000, 0, 100)",Float,,,,,,,,,,,,,Controle da dosagem de nutrientes (%),
Valvula_Excesso_MV,"RAMP(6000, 0, 1, 1)",Boolean,,,,,,,,,,,,,Válvula de excesso da dorna,
Misturador_MV,"RAMP(4000, 0, 1, 1)",Boolean,,,,,,,,,,,,,Misturador de ingredientes,
AlarmeNivelAlto,"RAMP(12000, 0, 1, 1)",Boolean,,,,,,,,,,,,,Alarme de nível alto,
AlarmeTempAlta,"RAMP(12000, 0, 1, 1)",Boolean,,,,,,,,,,,,,Alarme de temperatura alta,
