TagName,Address,DataType,ScanRate,Scaling,Description
Agitador_MV,"RAMP(1000, 0, 1, 1)",Boolean,100,None,Status do agitador
AlarmeNivelAlto,"RAMP(2000, 0, 1, 1)",Boolean,100,None,Alarme de nível alto
AlarmeTempAlta,"RAMP(2000, 0, 1, 1)",Boolean,100,None,Alarme de temperatura alta
VinhoPronto,"RAMP(3000, 0, 1, 1)",Boolean,100,None,Indica se o vinho está pronto
Valvula_Entrada_MV,"RAMP(3000, 0, 1, 1)",Boolean,100,None,Estado da válvula de entrada
Valvula_Saida_MV,"RAMP(5000, 0, 1, 1)",Boolean,100,None,Estado da válvula de saída
Valvula_Excesso_MV,"RAMP(6000, 0, 1, 1)",Boolean,100,None,Válvula de excesso da dorna
Temperatura_PV,"RANDOM(1000, 30.0, 35.0)",Float,100,None,Temperatura da dorna (°C)
pH_PV,"RANDOM(1000, 3.0, 6.5)",Float,100,None,pH da fermentação
Volume_PV,"RANDOM(1000, 500.0, 800.0)",Float,100,None,Volume atual da dorna (litros)
CO2_PV,"RANDOM(1000, 0.0000, 10.0000)",Float,100,None,Liberação de CO2 (kg/h)
Etanol_PV,"RANDOM(1000, 0.0000, 15.0000)",Float,100,None,Concentração de etanol (%)
Brix_PV,"RANDOM(1000, 0.0000, 18.0000)",Float,100,None,Concentração de açúcar (°Brix)
NivelDorna_PV,"RANDOM(1000, 0.0000, 100.0000)",Float,100,None,Nível da dorna (%)
Pressao_PV,"RANDOM(1000, 0.0000, 2.0000)",Float,100,None,Pressão interna (bar)
Temperatura_SP,"RANDOM(1000, 32.0, 34.0)",Float,100,None,Setpoint de temperatura (°C)
pH_SP,"RANDOM(1000, 4.5, 5.5)",Float,100,None,Setpoint de pH
Etanol_SP,"RANDOM(1000, 10.0, 12.0)",Float,100,None,Meta de etanol (%)
