Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Dorna04.Agitador_MV,"USER (1000,0,0)",Boolean,1,RO,100,,,,,,,,,,Status do agitador,
Dorna04.AlarmeNivelAlto,"USER (1000,0,0)",Boolean,1,RO,100,,,,,,,,,,Alarme de nível alto,
Dorna04.AlarmeTempAlta,"USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,Alarme de temperatura alta,
Dorna04.Brix_PV,"RANDOM (1000, 0.0, 19.042636)",Float,1,RO,100,,,,,,,,,,Concentração de açúcar (°Brix),
Dorna04.CO2_PV,"RANDOM (1000, 0.0, 8.734159)",Float,1,RO,100,,,,,,,,,,Liberação de CO2 (kg/h),
Dorna04.DosagemLevedura_MV,"RANDOM (2000, 0.0, 10.817693)",Float,1,RO,100,,,,,,,,,,Controle da dosagem de levedura (%),
Dorna04.DosagemNutriente_MV,"RANDOM (2000, 0.0, 13.29452)",Float,1,RO,100,,,,,,,,,,Controle da dosagem de nutrientes (%),
Dorna04.Etanol_PV,"RANDOM (1000, 0.0, 20.247145)",Float,1,RO,100,,,,,,,,,,Concentração de etanol (%),
Dorna04.Etanol_SP,"RANDOM (1000, 11.26421, 11.445271)",Float,1,RO,100,,,,,,,,,,Meta de etanol (%),
Dorna04.Misturador_MV,"USER (1000,1,1)",Boolean,1,RO,100,,,,,,,,,,Misturador de ingredientes,
Dorna04.Nivel_SP,"RANDOM (1000, 89.638357, 89.151609)",Float,1,RO,100,,,,,,,,,,Setpoint de nível da dorna (%),
Dorna04.NivelDorna_PV,"RANDOM (1000, 0.0, 103.780432)",Float,1,RO,100,,,,,,,,,,Nível da dorna (%),
Dorna04.pH_PV,"RANDOM (1000, 2.862746, 7.265561)",Float,1,RO,100,,,,,,,,,,pH da fermentação,
Dorna04.Pressao_PV,"RANDOM (1000, 1.100832, 1.687944)",Float,1,RO,100,,,,,,,,,,Pressão interna (bar),
Dorna04.Pressao_SP,"RANDOM (1000, 1.129042, 1.160998)",Float,1,RO,100,,,,,,,,,,Setpoint de pressão (bar),
Dorna04.Resfriamento_MV,"RANDOM (1000, 0.0, 111.415559)",Float,1,RO,100,,,,,,,,,,Controle de resfriamento (%),
Dorna04.Status_Fermentacao,"USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,Status da fermentação,
Dorna04.TempEntradaMosto_PV,"RANDOM (1000, 26.561892, 33.156826)",Float,1,RO,100,,,,,,,,,,Temperatura do mosto na entrada,
Dorna04.Temperatura_PV,"RANDOM (1000, 30.506499, 37.775252)",Float,1,RO,100,,,,,,,,,,Temperatura da dorna (°C),
Dorna04.Temperatura_SP,"RANDOM (1000, 29.288836, 31.716192)",Float,1,RO,100,,,,,,,,,,Setpoint de temperatura (°C),
Dorna04.TempSaidaVinho_PV,"RANDOM (1000, 25.79686, 35.836553)",Float,1,RO,100,,,,,,,,,,Temperatura do vinho na saída,
Dorna04.Valvula_Entrada_MV,"USER (1000,1,1)",Boolean,1,RO,100,,,,,,,,,,Estado da válvula de entrada,
Dorna04.Valvula_Excesso_MV,"USER (1000,0,0)",Boolean,1,RO,100,,,,,,,,,,Válvula de excesso da dorna,
Dorna04.Valvula_Saida_MV,"USER (1000,1,0)",Boolean,1,RO,100,,,,,,,,,,Estado da válvula de saída,
Dorna04.VazaoAgua_PV,"RANDOM (1000, 0.0, 15.414638)",Float,1,RO,100,,,,,,,,,,Vazão de água (L/min),
Dorna04.VazaoLevedura_PV,"RANDOM (1000, 0.0, 4.609026)",Float,1,RO,100,,,,,,,,,,Vazão de levedura (L/min),
Dorna04.VazaoMosto_PV,"RANDOM (1000, 0.0, 52.042444)",Float,1,RO,100,,,,,,,,,,Vazão do mosto (L/min),
Dorna04.VinhoPronto,"USER (1000,1,1)",Boolean,1,RO,100,,,,,,,,,,Indica se o vinho está pronto,
Dorna04.Volume_PV,"RANDOM (1000, 552.780436, 768.67091)",Float,1,RO,100,,,,,,,,,,Volume da dorna (litros),
