Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Agitador_MV","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Status do agitador",
"AlarmeNivelAlto","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Alarme de nível alto",
"AlarmeTempAlta","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Alarme de temperatura alta",
"Brix_PV","RANDOM (1000, 0.000000, 18.000000)",Float,1,RO,100,,,,,,,,,,"Concentração de açúcar (°Brix)",
"CO2_PV","RANDOM (1000, 0.000000, 10.000000)",Float,1,RO,100,,,,,,,,,,"Liberação de CO2 (kg/h)",
"DosagemLevedura_MV","RANDOM (2000, 0.000000, 10.000000)",Float,1,RO,100,,,,,,,,,,"Controle da dosagem de levedura (%)",
"DosagemNutriente_MV","RANDOM (2000, 0.000000, 15.000000)",Float,1,RO,100,,,,,,,,,,"Controle da dosagem de nutrientes (%)",
"Etanol_PV","RANDOM (1000, 0.000000, 18.000000)",Float,1,RO,100,,,,,,,,,,"Concentração de etanol (%)",
"Etanol_SP","RANDOM (1000, 11.900000, 12.100000)",Float,1,RO,100,,,,,,,,,,"Meta de etanol (%)",
"Misturador_MV","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Misturador de ingredientes",
"Nivel_SP","RANDOM (1000, 79.900000, 80.100000)",Float,1,RO,100,,,,,,,,,,"Setpoint de nível da dorna (%)",
"NivelDorna_PV","RANDOM (1000, 0.000000, 100.000000)",Float,1,RO,100,,,,,,,,,,"Nível da dorna (%)",
"pH_PV","RANDOM (1000, 3.000000, 6.500000)",Float,1,RO,100,,,,,,,,,,"pH da fermentação",
"Pressao_PV","RANDOM (1000, 1.000000, 1.500000)",Float,1,RO,100,,,,,,,,,,"Pressão interna (bar)",
"Pressao_SP","RANDOM (1000, 1.100000, 1.300000)",Float,1,RO,100,,,,,,,,,,"Setpoint de pressão (bar)",
"Resfriamento_MV","RANDOM (1000, 0.000000, 100.000000)",Float,1,RO,100,,,,,,,,,,"Controle de resfriamento (%)",
"Status_Fermentacao","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Status da fermentação",
"TempEntradaMosto_PV","RANDOM (1000, 25.000000, 32.000000)",Float,1,RO,100,,,,,,,,,,"Temperatura do mosto na entrada",
"Temperatura_PV","RANDOM (1000, 30.000000, 35.000000)",Float,1,RO,100,,,,,,,,,,"Temperatura da dorna (°C)",
"Temperatura_SP","RANDOM (1000, 31.900000, 32.100000)",Float,1,RO,100,,,,,,,,,,"Setpoint de temperatura (°C)",
"TempSaidaVinho_PV","RANDOM (1000, 30.000000, 34.000000)",Float,1,RO,100,,,,,,,,,,"Temperatura do vinho na saída",
"Valvula_Entrada_MV","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Estado da válvula de entrada",
"Valvula_Excesso_MV","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Válvula de excesso da dorna",
"Valvula_Saida_MV","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Estado da válvula de saída",
"VazaoAgua_PV","RANDOM (1000, 0.000000, 15.000000)",Float,1,RO,100,,,,,,,,,,"Vazão de água (L/min)",
"VazaoLevedura_PV","RANDOM (1000, 0.000000, 5.000000)",Float,1,RO,100,,,,,,,,,,"Vazão de levedura (L/min)",
"VazaoMosto_PV","RANDOM (1000, 0.000000, 50.000000)",Float,1,RO,100,,,,,,,,,,"Vazão do mosto (L/min)",
"VinhoPronto","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Indica se o vinho está pronto",
"Volume_PV","RANDOM (1000, 500.000000, 800.000000)",Float,1,RO,100,,,,,,,,,,"Volume da dorna (litros)",
